medido_utc,tienda,ofertas_disponibles,frescas_24h,frescas_3h,identidad_pendiente_3h,porcentaje_frescas_24h
2026-09-25T16:56:05.200Z,armytech,419,0,0,0,0.000
2026-09-25T16:56:05.200Z,beings,588,0,0,0,0.000
2026-09-25T16:56:05.200Z,compragamer,4863,15,1,0,0.308
2026-09-25T16:56:05.200Z,compugarden,1039,0,0,0,0.000
2026-09-25T16:56:05.200Z,dinobyte,2108,6,0,0,0.285
2026-09-25T16:56:05.200Z,fullh4rd,3269,0,0,0,0.000
2026-09-25T16:56:05.200Z,gamerspoint,705,0,0,0,0.000
2026-09-25T16:56:05.200Z,gamingcity,2777,5,0,0,0.180
2026-09-25T16:56:05.200Z,gezatek,765,0,0,0,0.000
2026-09-25T16:56:05.200Z,goldentechstore,2402,3,0,0,0.125
2026-09-25T16:56:05.200Z,hardcore,1318,0,0,0,0.000
2026-09-25T16:56:05.200Z,hftecnologia,248,0,0,0,0.000
2026-09-25T16:56:05.200Z,katech,4519,5,0,0,0.111
2026-09-25T16:56:05.200Z,liontech,319,5,0,0,1.567
2026-09-25T16:56:05.200Z,logg,995,3,0,0,0.302
2026-09-25T16:56:05.200Z,maximus,2687,0,0,0,0.000
2026-09-25T16:56:05.200Z,maxtecno,5922,5,0,0,0.084
2026-09-25T16:56:05.200Z,mexx,3376,7,0,0,0.207
2026-09-25T16:56:05.200Z,portaltech,369,0,0,0,0.000
2026-09-25T16:56:05.200Z,scphardstore,1346,6,0,0,0.446
2026-09-25T16:56:05.200Z,spacevideojuegos,420,0,0,0,0.000
2026-09-25T16:56:05.200Z,thegamershop,576,0,0,0,0.000
2026-09-25T16:56:05.200Z,venex,657,0,0,0,0.000
2026-09-25T16:56:05.200Z,wiztech,493,0,0,0,0.000
2026-09-25T16:56:05.200Z,xtpc,5547,4,0,0,0.072
2026-09-25T16:56:05.200Z,TOTAL,47727,64,1,0,0.134
