observado_el,periodo_inicio,periodo_fin,fuente,metrica,segmento,valor,unidad,estado,nota
2026-09-12,2026-08-13,2026-09-09,GSC,clicks,web_total,256,clicks,verificado,No equivale a sesiones
2026-09-12,2026-08-13,2026-09-09,GSC,impressions,web_total,13900,impresiones,verificado_redondeado,Interfaz muestra 13.9 mil
2026-09-12,2026-08-13,2026-09-09,GSC,ctr,web_total,1.8,porcentaje,verificado_redondeado,
2026-09-12,2026-08-13,2026-09-09,GSC,position,web_total,8.7,posicion_media,verificado_redondeado,
2026-09-12,2026-08-13,2026-09-09,GSC,clicks,home,166,clicks,verificado,
2026-09-12,2026-08-13,2026-09-09,GSC,clicks,argentina,246,clicks,verificado,
2026-09-12,2026-08-13,2026-09-09,GSC,clicks,desktop,145,clicks,verificado,
2026-09-12,2026-08-13,2026-09-09,GSC,clicks,mobile,110,clicks,verificado,
2026-09-12,2026-08-13,2026-09-09,GSC,clicks,tablet,1,clicks,verificado,
2026-09-12,,,GSC,indexed_pages,total,3166,paginas,verificado,Fecha del snapshot de Google no capturada
2026-09-12,,,GSC,nonindexed_pages,total,831,paginas,verificado,No todas requieren indexarse
2026-09-12,2026-09-10,2026-09-12,GitHub Actions,failed_runs,ultimos_tres_dias,3,ejecuciones,verificado,Ultima 503 error1102
2026-09-12,2026-09-12,2026-09-12,HTTP,sitemap_index_duration,muestra_unica,13653,ms,verificado,No es percentil ni uptime
2026-09-12,,,GA4,web_stream,comparador_hardware,1,flujo,configurado,Propiedad y flujo web creados; etiqueta publicada; no implica datos recibidos
2026-09-12,,,GA4,sessions,total,,sesiones,no_verificado,No se obtuvo informe actual
2026-09-12,,,GA4,outbound_clicks,total,,clicks,no_verificado,Validar instrumentacion y propiedad
2026-09-12,,,Comercial,qualified_leads,total,,leads,no_verificado,Falta canal publico operativo
2026-09-12,,,Comercial,active_sponsors,total,,sponsors,no_verificado,No inferir cero
2026-09-12,,,Comercial,revenue,total,,ARS,no_verificado,No se reviso facturacion
2026-09-13,2026-09-13,2026-09-13,HTTP,salud_publica,portada_cpu_gpu_ficha,4/4,rutas,verificado,Muestreo espaciado: portada y categorías CPU/GPU 200; ficha agrupado-procesadores-amd-ryzen-5-5600-am4-1ru8te5 200
2026-09-13,2026-09-13,2026-09-13,GitHub Actions,refresh_util,workflow_34751070154,1/1,objetivos,verificado,source=public-demand; memoria-ram; 11 productos; 0 fallos
2026-09-14,2026-09-14,2026-09-14,HTTP,salud_publica,portada_cpu_gpu_ficha,4/4,rutas,verificado,Muestreo espaciado: portada y categorías CPU/GPU 200; ficha agrupado-procesadores-amd-ryzen-5-5600-am4-1ru8te5 200
2026-09-14,2026-09-14,2026-09-14,GitHub Actions,refresh_util,workflow_34833586162,1/1,objetivos,verificado,source=public-demand; memoria-ram; 5 productos; 0 fallos
2026-09-15,2026-09-15,2026-09-15,GitHub Actions,refresh_util,workflow_34955387440,1/1,objetivos,verificado,source=public-demand; memoria-ram; 5 productos; 0 fallos
2026-09-16,2026-09-16,2026-09-16,GitHub Actions,refresh_util,workflow_35081657429,1/1,objetivos,verificado,source=public-demand; procesadores; 2 productos; 0 fallos
2026-09-17,2026-09-17,2026-09-17,GitHub Actions,refresh_util,workflow_35207782530,1/1,objetivos,verificado,source=public-demand; procesadores; 2 productos; 0 fallos
2026-09-18,2026-09-18,2026-09-18,GitHub Actions,refresh_util,workflow_35330375379,1/1,objetivos,verificado,source=public-demand; motherboards; 12 productos; 0 fallos
2026-09-19,2026-09-19,2026-09-19,HTTP,salud_publica,portada_cpu_gpu_ficha,4/4,rutas,verificado,Muestreo espaciado: portada y categorías CPU/GPU 200; ficha agrupada Ryzen 5 5600 200
2026-09-19,2026-09-19,2026-09-19,GitHub Actions,refresh_sin_resultados,workflow_35434568720,1/1,objetivos,verificado,source=public-demand; rx 6600 xt; 0 productos; 0 fallos; ejecución sana pero no útil para cobertura
2026-09-20,2026-09-20,2026-09-20,HTTP,salud_publica,portada_cpu_gpu_ficha,4/4,rutas,verificado,Muestreo espaciado: portada y categorías CPU/GPU 200; ficha agrupada Ryzen 5 5600 redirigió a URL canónica y respondió 200
2026-09-20,2026-09-20,2026-09-20,GitHub Actions,refresh_sin_resultados_repetido,workflow_35503079842,1/1,objetivos,verificado,source=public-demand; rx 6600 xt; 0 productos; 0 fallos; segundo ciclo consecutivo sobre el mismo objetivo sin utilidad de catálogo
2026-09-21,2026-09-21,2026-09-21,HTTP,salud_publica,portada_cpu_gpu_ficha,4/4,rutas,verificado,Muestreo espaciado: portada y categorías CPU/GPU 200; ficha agrupada Ryzen 5 5600 redirigió a URL canónica y respondió 200
2026-09-21,2026-09-21,2026-09-21,GitHub Actions,refresh_sin_resultados_rotado,workflow_35589635629,1/1,objetivos,verificado,source=public-demand; rx 6950 xt; 0 productos; 0 fallos; el objetivo rotó respecto de los dos ciclos anteriores pero el ciclo siguió sin utilidad de catálogo
2026-09-21,2026-08-23,2026-09-19,GSC,clicks,web_total,296,clicks,verificado,Comparado con 192 clics entre 2026-07-26 y 2026-08-22; aumento absoluto 104
